name,target,bodyPart,equipment
jack burpee,cardiovascular system,cardio,body weight
mountain climber,cardiovascular system,cardio,body weight
run (equipment),cardiovascular system,cardio,body weight
run,cardiovascular system,cardio,body weight
stationary bike walk,cardiovascular system,cardio,leverage machine
burpee,cardiovascular system,cardio,body weight
dumbbell burpee,cardiovascular system,cardio,dumbbell
stationary bike run v. 3,cardiovascular system,cardio,stationary bike
walk elliptical cross trainer,cardiovascular system,cardio,elliptical machine
walking on stepmill,cardiovascular system,cardio,stepmill machine
