name,target,bodyPart,equipment
3/4 sit-up,abs,waist,body weight
45° side bend,abs,waist,body weight
air bike,abs,waist,body weight
alternate heel touchers,abs,waist,body weight
assisted hanging knee raise with throw down,abs,waist,assisted
assisted hanging knee raise,abs,waist,assisted
assisted lying leg raise with lateral throw down,abs,waist,assisted
assisted lying leg raise with throw down,abs,waist,assisted
assisted motion russian twist,abs,waist,medicine ball
barbell press sit-up,abs,waist,barbell
