name,target,bodyPart,equipment
barbell bent over row,upper back,back,barbell
barbell incline row,upper back,back,barbell
barbell one arm bent over row,upper back,back,barbell
barbell reverse grip bent over row,upper back,back,barbell
cable decline seated wide-grip row,upper back,back,cable
cable floor seated wide-grip row,upper back,back,cable
cable high row (kneeling),upper back,back,cable
cable low seated row,upper back,back,cable
cable one arm bent over row,upper back,back,cable
cable one arm straight back high row (kneeling),upper back,back,cable
